timestamp,batch_id,time_min,moisture_raw,red,green,blue,moisture_status,color_status,final_status,readiness_score
2026-05-11 04:26:34,BATCH_001,0,507,9202,9214,9206,PASS,PASS,PASS,100
2026-05-11 04:27:09,BATCH_001,5,507,9124,9219,9249,PASS,PASS,PASS,100
2026-05-11 04:27:20,BATCH_001,10,507,9239,9245,9190,PASS,PASS,PASS,100
2026-05-11 04:27:32,BATCH_001,15,507,9212,9201,9214,PASS,PASS,PASS,100
2026-05-11 04:27:43,BATCH_001,20,507,9275,9259,9275,PASS,PASS,PASS,100
2026-05-11 04:27:55,BATCH_001,25,503,9228,9258,9280,PASS,PASS,PASS,100
2026-05-11 04:28:06,BATCH_001,30,503,9241,9265,9248,PASS,PASS,PASS,100
2026-05-11 04:28:17,BATCH_001,35,503,9197,9244,9226,PASS,PASS,PASS,100
2026-05-11 04:28:29,BATCH_001,40,510,13589,13620,13558,PASS,PASS,PASS,100
2026-05-11 04:29:05,BATCH_001,45,244,9231,9148,9058,HOLD,PASS,HOLD,50
2026-05-11 04:29:16,BATCH_001,50,243,9202,9187,9162,HOLD,PASS,HOLD,50
2026-05-11 04:29:20,BATCH_001,55,243,9105,9164,9125,HOLD,PASS,HOLD,50
2026-05-11 04:29:32,BATCH_001,60,242,9139,9125,9201,HOLD,PASS,HOLD,50
2026-05-11 04:29:36,BATCH_001,65,221,11200,11400,11100,HOLD,PASS,HOLD,50
2026-05-11 04:29:40,BATCH_001,70,242,9190,9176,9148,HOLD,PASS,HOLD,50
2026-05-11 04:29:52,BATCH_001,75,405,14199,14335,14413,WARN,PASS,WARN,75
2026-05-11 04:30:03,BATCH_001,80,512,9262,9260,9251,PASS,PASS,PASS,100
2026-05-11 04:30:56,BATCH_001,85,504,9183,9223,9160,PASS,PASS,PASS,100
2026-05-11 04:31:07,BATCH_001,90,504,9169,9253,9201,PASS,PASS,PASS,100
2026-05-11 04:31:18,BATCH_001,95,506,9138,9119,9171,PASS,PASS,PASS,100
2026-05-11 04:31:25,BATCH_001,100,506,9159,9211,9215,PASS,PASS,PASS,100
2026-05-11 04:31:36,BATCH_001,105,505,9126,9182,9186,PASS,PASS,PASS,100
2026-05-11 04:32:05,BATCH_001,110,250,9152,9107,9148,HOLD,PASS,HOLD,50
2026-05-11 04:32:17,BATCH_001,115,519,9232,9242,9195,PASS,PASS,PASS,100
2026-05-11 04:33:40,BATCH_001,120,498,11000,11200,10900,PASS,PASS,PASS,100
2026-05-11 04:35:04,BATCH_002,0,515,9087,9108,9095,PASS,PASS,PASS,100
2026-05-11 04:35:10,BATCH_002,5,515,9132,9181,9152,PASS,PASS,PASS,100
2026-05-11 04:35:23,BATCH_002,10,513,9151,9152,9178,PASS,PASS,PASS,100
2026-05-11 04:35:29,BATCH_002,15,513,9148,9162,9155,PASS,PASS,PASS,100
2026-05-11 04:35:34,BATCH_002,20,513,9167,9177,9186,PASS,PASS,PASS,100
2026-05-11 04:35:45,BATCH_002,25,513,9167,9201,9147,PASS,PASS,PASS,100
2026-05-11 04:35:56,BATCH_002,30,512,9182,9161,9190,PASS,PASS,PASS,100
2026-05-11 04:36:07,BATCH_002,35,512,9722,9689,9386,PASS,PASS,PASS,100
2026-05-11 04:36:17,BATCH_002,40,513,9107,9087,9069,PASS,PASS,PASS,100
2026-05-11 04:36:20,BATCH_002,45,512,10570,10684,10775,PASS,PASS,PASS,100
2026-05-11 04:36:32,BATCH_002,50,265,13579,9138,9075,HOLD,PASS,HOLD,50
2026-05-11 04:36:38,BATCH_002,55,268,9024,9005,9100,HOLD,PASS,HOLD,50
2026-05-11 04:36:42,BATCH_002,60,269,9066,9088,8996,HOLD,PASS,HOLD,50
2026-05-11 04:36:49,BATCH_002,65,269,9004,9064,9107,HOLD,PASS,HOLD,50
2026-05-11 04:36:53,BATCH_002,70,267,9101,9111,9112,HOLD,PASS,HOLD,50
2026-05-11 04:37:04,BATCH_002,75,510,11216,15455,15905,PASS,PASS,PASS,100
2026-05-11 04:37:15,BATCH_002,80,520,9164,9121,9046,PASS,PASS,PASS,100
2026-05-11 04:37:27,BATCH_002,85,521,9201,9122,9122,PASS,PASS,PASS,100
2026-05-11 04:37:38,BATCH_002,90,521,9073,9120,9104,PASS,PASS,PASS,100
2026-05-11 04:40:47,BATCH_001,125,520,9129,9126,9137,PASS,PASS,PASS,100
2026-05-11 04:40:58,BATCH_001,130,518,9253,9211,9195,PASS,PASS,PASS,100
2026-05-11 04:41:09,BATCH_001,135,520,10073,10074,10105,PASS,PASS,PASS,100
2026-05-11 04:41:21,BATCH_001,140,521,10054,10059,10056,PASS,PASS,PASS,100
2026-05-11 04:41:32,BATCH_001,145,521,10016,10010,9947,PASS,PASS,PASS,100
2026-05-11 04:41:43,BATCH_001,150,521,9938,9937,9948,PASS,PASS,PASS,100
2026-05-11 04:41:54,BATCH_001,155,521,9944,9942,9982,PASS,PASS,PASS,100
2026-05-11 04:42:05,BATCH_001,160,521,9982,10005,9994,PASS,PASS,PASS,100
2026-05-11 04:42:17,BATCH_001,165,521,9967,9953,9900,PASS,PASS,PASS,100
